Unnamed: 0,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
166222,porsche,Porsche Macan,grey,01/2017,2017,42970,190,258,Automatic,Diesel,"6,3 l/100 km",164 g/km,128300.0,S Diesel°PASM°PDLS°BOSE°Xenon°Navi°Pano°
22309,audi,Audi A1,red,02/2023,2023,25988,81,110,Automatic,Petrol,"5,7 l/100 km","132,3 g/km",6000.0,"Sportback 30 TFSI S tronic - LED,PDC+,SHZ,BT"
233526,volkswagen,Volkswagen Caddy,blue,06/2017,2017,17990,75,102,Manual,Diesel,"4,5 l/100 km",117 g/km,100000.0,Nfz Maxi Kasten Klima Navi AHK Sitzheizung
138711,opel,Opel Omega,silver,01/2002,2002,4990,106,144,Manual,LPG,"9,6 l/100 km",231 g/km,119990.0,B Selection Lim./2.Hand/Gasanlage
123121,mercedes-benz,Mercedes-Benz X 250,white,01/2018,2018,36999,140,190,Automatic,Diesel,"7,9 l/100 km",207 g/km,66800.0,d 4M.  * 1.Hand * Vollausstattung * AHK *
105044,mercedes-benz,Mercedes-Benz CLK 200,blue,06/2005,2005,10499,120,163,Automatic,Petrol,"8,7 l/100 km",207 g/km,120000.0,K Aut. Leder Bluet. Sitzhz PTS vo+hi AHK
61482,ford,Ford Focus,white,05/2013,2013,8600,74,101,Manual,Petrol,"4,7 l/100 km",111 g/km,84000.0,Lim. Champions Edition
22731,audi,Audi A3,white,05/2023,2023,31385,110,150,Manual,Petrol,"5,6 l/100 km",128 g/km,10.0,Sportback 35 TFSI * PDC KLIMA TEMPOMAT LED KEYL...
117297,mercedes-benz,Mercedes-Benz Sprinter,white,07/2015,2015,18921,120,163,Manual,Diesel,"8,2 l/100 km",217 g/km,170260.0,Automatic SB*NAVI*XENON*PDC*SH*Tempomat*Teilleder*
92309,kia,Kia XCeed,white,07/2022,2022,21950,118,160,Manual,Petrol,"6,1 l/100 km",137 g/km,14300.0,1.5T Edition 7 | Emotion
164353,peugeot,Peugeot Boxer,white,05/2023,2023,35838,121,165,Manual,Diesel,"9,1 l/100 km",239 g/km,10.0,335 2.2 BHDi 165 L3H2 DAB PDC Temp 270°
